"s1"	"p1"	"o1"	"s2"	"p2"	"o2"
"http://it.dbpedia.org/resource/Il_cacciatore_di_aquiloni"	"http://dbpedia.org/ontology/literaryGenre"	"http://it.dbpedia.org/resource/Romanzo"	"http://pt.dbpedia.org/resource/The_Kite_Runner"	"http://dbpedia.org/ontology/literaryGenre"	"http://pt.dbpedia.org/resource/Romance"
"http://it.dbpedia.org/resource/Il_cacciatore_di_aquiloni"	"http://dbpedia.org/ontology/author"	"http://it.dbpedia.org/resource/Khaled_Hosseini"	"http://pt.dbpedia.org/resource/The_Kite_Runner"	"http://dbpedia.org/ontology/author"	"http://pt.dbpedia.org/resource/Khaled_Hosseini"
"http://it.dbpedia.org/resource/Itapira"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/San_Paolo_(stato)"	"http://pt.dbpedia.org/resource/Itapira"	"http://dbpedia.org/ontology/state"	"http://pt.dbpedia.org/resource/São_Paulo"
"http://it.dbpedia.org/resource/Peace_in_a_Time_of_War"	"http://dbpedia.org/ontology/subsequentWork"	"http://it.dbpedia.org/resource/Dub_in_a_Time_of_War"	"http://pt.dbpedia.org/resource/Peace_in_a_Time_of_War"	"http://dbpedia.org/ontology/subsequentWork"	"http://pt.dbpedia.org/resource/Dub_in_a_Time_of_War"
"http://it.dbpedia.org/resource/Erzenhausen"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Circondario_di_Kaiserslautern"	"http://pt.dbpedia.org/resource/Erzenhausen"	"http://dbpedia.org/ontology/district"	"http://pt.dbpedia.org/resource/Kaiserslautern_(distrito)"
"http://it.dbpedia.org/resource/Erzenhausen"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Renania-Palatinato"	"http://pt.dbpedia.org/resource/Erzenhausen"	"http://dbpedia.org/ontology/state"	"http://pt.dbpedia.org/resource/Renânia-Palatinado"
"http://it.dbpedia.org/resource/Rota_(Spagna)"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Andalusia"	"http://pt.dbpedia.org/resource/Rota_(Cádis)"	"http://dbpedia.org/ontology/state"	"http://pt.dbpedia.org/resource/Andaluzia"
"http://it.dbpedia.org/resource/Val-Maravel"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Drôme"	"http://pt.dbpedia.org/resource/Val-Maravel"	"http://dbpedia.org/ontology/department"	"http://pt.dbpedia.org/resource/Drôme"
"http://it.dbpedia.org/resource/Val-Maravel"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Rodano-Alpi"	"http://pt.dbpedia.org/resource/Val-Maravel"	"http://dbpedia.org/ontology/region"	"http://pt.dbpedia.org/resource/Ródano-Alpes"
"http://it.dbpedia.org/resource/Acomys_louisae"	"http://dbpedia.org/ontology/kingdom"	"http://it.dbpedia.org/resource/Animalia"	"http://pt.dbpedia.org/resource/Acomys_louisae"	"http://dbpedia.org/ontology/kingdom"	"http://pt.dbpedia.org/resource/Animalia"
